account,total_pnl,avg_pnl,pnl_std,total_trades,total_volume,avg_trade_size,total_fees,profitable_trades,loss_trades,win_rate,profit_factor
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,419.1277684596647,4692.452328769463,3818,61697263.97,16159.57673389209,7405.312304,1373,359,0.3596123624934521,216.0629682216814
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.320514,6.5776539167582415,134.07347277629353,7280,12035487.66,1653.2263269230768,2729.83788853,3223,943,0.4427197802197802,17.535028613425492
0x271b280974205ca63b716753467d5a371de622ab,-70436.191318,-18.49204287687057,542.1826592941622,3809,33873440.42,8893.000897873459,9280.98285,1150,457,0.3019165135206091,-7.588485397600147
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.814554,9.951529904139434,113.26935264594304,13311,6757022.1,507.6269326121253,2218.3673664509,5838,934,0.43858462925400044,59.68584406367614
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.004994,52.0710111126891,255.82909123366827,3239,10166880.2,3138.894782340228,3108.196722,1684,376,0.5199135535659154,54.244880615180314
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.599986,-38.28662574969325,558.7787526232372,815,1409902.0,1729.9411042944785,147.07476338,371,199,0.45521472392638035,-210.72868376580215
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919335999997,4.0281190682641395,730.495483644371,3589,17193375.42,4790.5754862078575,1458.65712607,1176,591,0.32766787405962666,9.904325528094393
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243,161.13327482831323,1279.8557881354639,332,1143896.46,3445.471265060241,176.274175917,158,0,0.4759036144578313,301.7712363703048
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.592732,520.9023308929503,2228.336140282739,383,1987527.6099999999,5189.367127937337,267.967088979,90,0,0.2349869451697128,741.7472282178609
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,336.735547567502,1649.4975803457908,1237,2966109.22,2397.824753435732,747.006931,599,0,0.48423605497170574,556.8690009117041
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.716161,12.130967972884141,88.29284150392282,8519,4408828.9,517.5289235825802,1230.8465211819,3011,652,0.35344524005164923,83.89333767151972
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.050643,155.58931373806246,855.3540027082513,4356,39572949.25,9084.699093204776,8025.99239419,2118,115,0.48622589531680444,84.43349854592596
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.869716,40.740489150316456,656.6936282172401,7584,129672529.28,17098.171054852322,40724.467403,2733,216,0.3603639240506329,7.586797387946972
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.555216,68.68441935403726,639.4024436908079,12236,420876556.36,34396.58028440667,76424.64289169,4909,573,0.40119320039228507,10.996604325684798
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.216772,111.51919668923077,468.9959817825797,975,728057.51,746.7256512820513,186.8360769324,421,5,0.4317948717948718,578.8622640960026
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.565915,270.0349471163522,2525.2404372348287,1590,11474500.92,7216.667245283019,1551.43726629,550,187,0.34591194968553457,276.56870601996684
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,360539.510029,253.1878581664326,1494.128004157728,1424,2962475.47,2080.390077247191,281.49884416,432,126,0.30337078651685395,1276.2512749425616
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.406711,38.3195599627009,172.52077341762578,9893,25729497.24,2600.7780491256444,2595.25914168,8022,638,0.8108763772364298,146.01601227899505
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14900.443047,9.557692781911483,72.5611952371814,1559,5844484.45,3748.8675112251444,780.21690296,705,41,0.45221295702373315,19.07337512865225
0x8170715b3b381dffb7062c0298972d4727a0a63b,-167621.124781,-36.43145507085416,1647.7789842055993,4601,10143758.13,2204.6855314062163,1579.38545192,1761,580,0.38274288198217776,-106.06344457129632
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.657906,34.2823955552067,325.75560971336085,1911,11999173.37,6279.002286760858,3384.88221858,631,83,0.33019361590790164,19.349065819978723
0x8477e447846c758f5a675856001ea72298fd9cb5,43917.008976,2.928191023869849,68.6130409480178,14998,12304786.84,820.4285131350847,3792.54309547,3929,2630,0.26196826243499133,11.57677871867142
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.942134,41.47409637418087,220.3877348338997,3052,10992355.74,3601.689298820446,2821.95879926,871,21,0.2853866317169069,44.83910362672701
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.875256,6.81210350887536,68.2349036218229,15605,19868207.98,1273.1950003204101,2287.9554331042,5396,165,0.3457866068567767,46.44165356764322
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.484272,174.6918088057554,976.068751360001,417,861809.4,2066.6892086330936,189.93800451,239,16,0.5731414868105515,381.5190404809369
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.619531,120.50731710657195,474.8098365007934,563,1677425.72,2979.4417761989343,548.72926461,230,0,0.40852575488454707,123.41642313536357
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.831753,40.746875941947565,288.26612386189584,534,4448323.26,8330.193370786517,541.7456094464,172,58,0.32209737827715357,40.09029529542208
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.597689,145.48174829898866,1374.0264020518678,14733,56543565.23,3837.885375008484,15995.31825182,4967,1312,0.3371343243059798,133.9922452121215
0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.500821,4.648305254443986,332.0834053908585,4838,108877041.1,22504.555828854896,28643.173715,2122,519,0.4386109962794543,0.7850986048595119
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.80622,44.364090516232544,567.7627628499143,21192,68036340.24,3210.472831257078,8596.705666219,9909,88,0.46758210645526616,109.35054568266634
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,220519.061853,83.49831952025748,1530.5250331047494,2641,20737391.71,7852.098337750852,4773.09848443,865,312,0.32752745172283226,46.1907232479995
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,836080.553077,20.806304824731235,264.1238803160226,40184,74107810.44,1844.2118863229146,13352.89970895,17208,5343,0.428230141349791,62.609467743467114
